trial_number,value,params,state
0,2.4588453239864774,"{'lr': 0.0004205941634559882, 'num_layers': 4, 'embed_size': 768, 'dim_feedforward': 2048, 'nhead': 4, 'dropout': 0.13768482045686486, 'batch_size': 16}",1
1,2.172742784023285,"{'lr': 0.00020105148413263787, 'num_layers': 7, 'embed_size': 512, 'dim_feedforward': 1024, 'nhead': 8, 'dropout': 0.1479191579363668, 'batch_size': 128}",1
2,0.14902073703706264,"{'lr': 0.00011285648798190809, 'num_layers': 3, 'embed_size': 512, 'dim_feedforward': 2048, 'nhead': 8, 'dropout': 0.15279156425492785, 'batch_size': 128}",1
3,0.47685377796490985,"{'lr': 5.6588723032438325e-05, 'num_layers': 9, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 8, 'dropout': 0.13724622710219306, 'batch_size': 64}",1
4,0.8760157227516174,"{'lr': 8.061692989467227e-05, 'num_layers': 9, 'embed_size': 256, 'dim_feedforward': 512, 'nhead': 16, 'dropout': 0.2508162373153602, 'batch_size': 128}",1
5,0.22746085226535798,"{'lr': 2.250736258403237e-05, 'num_layers': 3, 'embed_size': 512, 'dim_feedforward': 2048, 'nhead': 4, 'dropout': 0.27497368204281575, 'batch_size': 32}",1
6,2.3585241900549994,"{'lr': 5.3457317500700515e-05, 'num_layers': 10, 'embed_size': 768, 'dim_feedforward': 1024, 'nhead': 8, 'dropout': 0.16862377597180983, 'batch_size': 16}",2
7,2.4269988536834717,"{'lr': 0.0008859443993150666, 'num_layers': 7, 'embed_size': 768, 'dim_feedforward': 512, 'nhead': 4, 'dropout': 0.20738885422316838, 'batch_size': 128}",2
8,2.389344334602356,"{'lr': 0.00012231953942052826, 'num_layers': 4, 'embed_size': 768, 'dim_feedforward': 512, 'nhead': 16, 'dropout': 0.1618392925350897, 'batch_size': 128}",2
9,2.1584014892578125,"{'lr': 9.244605248578308e-05, 'num_layers': 9, 'embed_size': 768, 'dim_feedforward': 2048, 'nhead': 4, 'dropout': 0.17371273037444715, 'batch_size': 32}",2
10,2.5332496563593545,"{'lr': 1.4241482882796596e-05, 'num_layers': 2, 'embed_size': 512, 'dim_feedforward': 2048, 'nhead': 8, 'dropout': 0.1053967985001081, 'batch_size': 64}",2
11,0.22675229907035827,"{'lr': 1.7046331220908295e-05, 'num_layers': 2, 'embed_size': 512, 'dim_feedforward': 2048, 'nhead': 4, 'dropout': 0.2834014153902267, 'batch_size': 32}",1
12,0.09585905820131302,"{'lr': 2.791276206758203e-05, 'num_layers': 2, 'embed_size': 512, 'dim_feedforward': 2048, 'nhead': 4, 'dropout': 0.22014740184295128, 'batch_size': 32}",1
13,0.09544661194086075,"{'lr': 3.1570935865232563e-05, 'num_layers': 5, 'embed_size': 512, 'dim_feedforward': 2048, 'nhead': 8, 'dropout': 0.21607418271554182, 'batch_size': 32}",1
14,0.37874244451522826,"{'lr': 3.267474360930216e-05, 'num_layers': 5, 'embed_size': 512, 'dim_feedforward': 2048, 'nhead': 16, 'dropout': 0.22175423708428438, 'batch_size': 32}",2
15,2.1915881872177123,"{'lr': 1.1203128329293712e-05, 'num_layers': 6, 'embed_size': 512, 'dim_feedforward': 2048, 'nhead': 8, 'dropout': 0.23414360177109078, 'batch_size': 32}",2
16,2.095465564727783,"{'lr': 3.095713482199347e-05, 'num_layers': 5, 'embed_size': 256, 'dim_feedforward': 2048, 'nhead': 4, 'dropout': 0.19712880270683722, 'batch_size': 32}",2
17,2.1957305669784546,"{'lr': 3.677655749666993e-05, 'num_layers': 7, 'embed_size': 512, 'dim_feedforward': 2048, 'nhead': 8, 'dropout': 0.2556877956391942, 'batch_size': 32}",2
18,0.026387719716876746,"{'lr': 0.00020960232054818113, 'num_layers': 3, 'embed_size': 512, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.19086986253374183, 'batch_size': 32}",1
19,2.2469535668691,"{'lr': 0.00023136084522606056, 'num_layers': 5, 'embed_size': 512, 'dim_feedforward': 1024, 'nhead': 16, 'dropout': 0.19316431781788965, 'batch_size': 64}",2
20,0.02032577389521369,"{'lr': 0.00031626993641766345, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.18644882852779088, 'batch_size': 16}",1
21,0.019056967737722315,"{'lr': 0.0003651516612104401, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.18214463582080603, 'batch_size': 16}",1
22,0.04328345787952356,"{'lr': 0.00045339504839106995, 'num_layers': 3, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.1846053163678885, 'batch_size': 16}",1
23,0.014137315926846996,"{'lr': 0.0003063816460483584, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.18369219264508166, 'batch_size': 16}",1
24,0.03602067341287491,"{'lr': 0.00042081964085699563, 'num_layers': 4, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.11532342433657079, 'batch_size': 16}",1
25,2.452327330907186,"{'lr': 0.000648592583428456, 'num_layers': 6, 'embed_size': 256, 'dim_feedforward': 1024, 'nhead': 4, 'dropout': 0.17891344330663547, 'batch_size': 16}",2
